iter	Passed	Remaining
0	1	100
1	1	93
2	2	89
3	3	82
4	4	80
5	5	79
6	5	78
7	6	77
8	7	76
9	8	75
10	9	74
11	10	74
12	10	73
13	11	72
14	12	71
15	13	70
16	14	69
17	15	68
18	15	68
19	16	67
20	17	66
21	18	65
22	19	65
23	20	64
24	21	63
25	22	63
26	22	62
27	23	61
28	24	60
29	25	59
30	26	58
31	27	57
32	27	56
33	28	56
34	29	55
35	30	54
36	31	53
37	32	52
38	33	51
39	33	50
40	34	50
41	35	48
42	35	47
43	36	46
44	37	45
45	38	45
46	39	44
47	40	43
48	40	42
49	41	41
50	42	41
51	43	40
52	44	39
53	45	38
54	46	37
55	47	37
56	47	36
57	49	35
58	49	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	29
66	57	28
67	58	27
68	59	26
69	59	25
70	60	24
71	61	23
72	62	23
73	63	22
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	5
93	80	5
94	80	4
95	81	3
96	82	2
97	83	1
98	84	0
99	84	0
